c1,c2,c3,c4,c5,c6,c7,c8,c9
1,5,98,1,3,19,910,6,0
1,14,217,0,1,5,92,5,0
1,18,217,1,7,5,92,8,0
1,30,217,1,7,5,92,8,0
3,5,145,1,2,14,302,5,0
3,11,217,1,1,10,758,5,0
4,5,217,1,5,7,94,9,1
4,11,217,1,7,5,92,8,0
4,15,217,1,2,2,227,5,0
4,23,145,1,9,1,302,13,0
4,23,145,1,9,1,302,13,0
4,23,145,1,9,2,302,13,0
4,24,145,1,2,19,302,5,0
4,25,217,1,7,5,92,8,0
4,28,145,1,2,2,302,5,0
5,7,43,1,3,8,816,6,0
6,6,217,1,7,5,92,8,0
6,13,209,1,6,1,182,5,0
6,21,217,0,7,5,92,8,0
7,1,217,1,7,5,92,8,0
8,1,217,1,7,5,92,8,0
8,8,186,1,3,4,9,6,1
8,8,217,1,7,5,92,8,0
8,18,217,1,7,5,92,8,0
8,18,217,1,7,5,92,8,0
9,6,217,1,7,5,92,8,0
9,16,217,1,7,5,92,8,0
9,30,186,1,2,4,9,6,0
10,24,217,1,7,2,68,8,1
10,24,217,1,7,8,68,8,1
11,2,217,1,7,5,92,8,0
11,8,217,1,7,1,293,8,0
11,19,217,0,7,8,1056,8,1
11,28,217,1,7,5,92,8,0
12,0,217,1,7,14,1443,8,0
12,10,217,1,3,4,1636,6,1
12,24,217,1,7,5,92,8,0
1,0,217,1,7,5,92,8,0
1,6,217,0,3,14,764,6,1
1,6,217,0,3,14,764,6,1
1,25,217,1,5,1,239,5,0
1,27,217,1,7,1,898,8,1
1,30,217,1,7,1,898,8,0
2,15,217,1,5,1,239,5,0
3,4,217,1,5,1,239,5,0
6,8,217,1,5,1,239,5,0
7,27,45,1,9,4,14,13,0
7,27,217,1,7,1,802,8,1
7,31,217,1,7,1,802,8,1
8,9,217,0,3,5,92,6,0
8,10,217,1,7,5,92,8,0
9,16,92,0,9,2,58,13,0
9,21,217,1,6,1,239,5,0
10,9,217,1,7,5,92,8,0
10,9,217,1,7,5,92,8,0
10,11,217,1,7,5,92,8,0
10,15,217,1,7,1,1,8,0
10,16,157,0,2,11,217,5,0
10,16,217,1,2,14,40,5,0
10,16,217,1,2,14,40,5,0
10,16,217,1,2,14,40,5,0
10,17,217,0,7,5,92,8,0
10,25,217,1,7,1,239,5,0
11,2,45,1,3,3,5,6,0
11,11,217,1,5,1,239,5,0
11,13,6,1,4,6,1495,9,1
12,9,217,1,5,1,239,5,0
12,10,153,1,1,22,250,5,0
12,10,153,1,1,22,250,5,0
12,10,153,1,1,22,250,5,0
12,10,217,1,7,5,92,8,0
12,13,217,1,7,5,92,8,0
12,14,217,1,7,5,92,8,0
12,14,217,0,7,5,92,8,0
12,27,217,1,5,1,239,5,0
12,30,217,1,2,5,92,5,0
12,30,217,1,2,5,92,5,0
12,31,217,1,2,5,92,5,0
1,9,217,1,7,5,92,8,0
1,18,217,0,3,5,92,6,0
3,6,217,1,7,5,92,8,0
3,28,217,1,3,2,227,6,0
3,29,217,1,7,1,239,5,0
11,4,97,1,1,2,1315,5,0
4,13,217,1,3,2,1,6,0
4,14,217,1,7,1,68,8,1
4,15,217,1,3,1,1,6,0
5,4,217,1,3,5,92,6,0
5,23,217,1,5,1,239,5,0
6,10,217,1,7,1,68,8,1
6,15,217,1,7,1,68,8,0
6,20,217,1,7,15,676,8,0
6,21,217,1,7,15,676,8,0
6,22,217,1,7,1,239,5,0
7,29,213,1,2,14,662,5,0
8,16,217,1,7,1,239,5,0
8,30,217,1,5,1,239,5,0
10,26,186,1,1,2,9,5,0
11,7,217,1,7,5,92,8,0
11,22,217,1,5,1,239,5,0
11,24,186,1,3,4,9,6,0
11,11,186,1,3,4,9,6,0
12,19,217,1,5,1,239,5,0
12,24,217,1,7,1,68,8,1
12,24,217,1,7,1,74,8,0
12,25,183,1,2,14,136,9,0
1,12,217,0,3,15,1,6,0
1,16,209,1,4,20,25,5,1
3,4,110,1,3,4,1010,6,0
4,12,217,1,3,2,227,6,0
4,16,75,0,3,19,253,6,0
5,13,222,0,9,4,778,13,0
5,22,92,1,3,19,254,6,0
6,2,92,1,8,2,919,9,0
6,15,603,1,3,14,20,6,1
7,11,217,1,7,1,766,8,0
8,16,217,1,7,1,19,8,0
8,31,217,1,7,1,68,8,1
9,18,217,1,7,5,92,8,0
10,3,217,1,3,1,248,6,0
10,6,75,0,3,1,253,6,0
10,10,213,1,6,8,35,6,0
10,26,186,1,3,4,9,6,0
10,28,217,1,7,2,74,8,1
10,28,217,1,7,2,68,8,0
10,30,217,1,7,2,74,8,0
10,30,217,1,7,2,68,8,0
11,12,217,1,7,1,68,8,0
11,23,65,1,5,6,19,13,0
1,1,217,1,7,5,92,8,0
1,13,217,0,3,10,46,6,0
1,19,217,1,3,5,92,6,0
2,1,217,1,7,5,92,5,0
2,10,65,1,3,18,1,6,0
2,13,217,0,3,15,224,6,0
3,5,186,1,3,4,9,6,0
3,11,217,1,3,1,68,6,1
3,18,217,0,7,1,68,8,1
3,18,217,1,7,8,68,8,1
3,21,97,1,3,1,21,6,1
3,24,186,1,3,4,9,6,1
3,29,92,1,3,19,142,6,0
3,0,6,1,2,14,36,9,0
3,0,6,1,2,14,142,9,0
4,25,6,1,3,19,142,6,0
5,3,217,1,7,2,227,8,0
6,9,124,1,4,6,19,7,1
7,21,217,1,7,1,68,8,1
7,21,217,1,7,1,74,8,0
10,19,186,1,3,4,9,6,1
10,27,160,1,6,15,23,13,0
10,28,217,0,1,5,343,5,0
11,7,92,1,3,4,83,6,0
11,19,92,1,3,14,1,6,0
11,30,217,1,7,2,68,8,1
11,30,217,1,7,2,74,8,1
12,0,6,1,9,14,1,13,0
12,28,186,1,3,4,9,6,0
1,1,34,1,2,4,49,5,0
1,1,167,1,3,19,1,6,0
1,1,603,1,2,14,177,5,1
1,2,95,1,3,7,1,6,0
1,2,155,0,2,14,1,5,0
1,4,118,1,3,3,103,6,1
1,4,118,1,3,3,103,6,1
1,5,15,0,3,3,1,6,0
1,5,86,1,3,10,1,6,0
1,5,168,1,2,14,49,5,0
1,5,168,1,2,14,49,5,0
1,6,34,1,7,4,49,5,0
1,6,86,1,3,1,1,6,0
1,6,6,1,2,14,1,9,0
1,6,6,1,2,14,1,9,0
1,7,603,0,3,14,169,6,1
1,8,6,1,2,14,1,9,0
1,8,6,1,2,14,1,9,0
1,9,185,1,3,2,18,6,0
1,9,92,1,3,14,1,6,0
1,10,6,1,2,14,1,9,0
1,10,6,1,3,14,1,6,0
1,10,6,1,2,14,1,5,0
1,11,78,1,3,2,486,6,0
1,11,603,1,2,14,177,5,1
1,11,153,1,2,14,65,5,1
1,11,6,1,3,1,36,6,0
1,11,6,1,3,15,36,6,0
1,12,5,1,3,2,1,6,0
1,12,5,1,3,2,1,6,0
1,12,5,1,3,2,1,6,0
1,13,6,1,3,14,1,6,0
1,13,6,1,2,14,1,9,0
1,13,6,1,3,14,1,6,0
1,14,167,1,3,2,1,6,0
1,14,6,1,3,15,22,6,0
1,15,167,1,3,2,1,6,0
1,17,34,1,2,4,1,5,0
1,17,32,1,3,10,1,6,0
1,17,78,1,7,1,1744,8,1
1,17,6,1,3,2,22,6,0
1,18,110,1,2,4,34,5,0
1,18,603,1,2,14,177,5,1
1,19,160,1,7,2,297,5,1
1,19,205,1,2,14,1,5,0
1,19,160,1,3,1,297,6,1
1,20,6,1,3,19,1,6,0
1,20,6,1,3,14,1,6,0
1,20,6,1,2,14,1,9,0
1,20,6,1,3,1,1,6,0
1,20,603,1,2,14,165,5,1
1,21,603,1,2,14,165,5,0
1,21,78,1,3,14,1,6,0
1,21,78,1,3,1,1,6,0
1,21,78,1,3,1,1,6,0
1,21,6,1,3,8,36,6,0
1,21,6,1,3,14,36,6,0
1,22,186,1,2,14,9,5,0
1,23,6,1,3,15,1,6,0
1,23,603,1,2,1,1,5,0
1,24,6,1,3,14,1,6,0
1,24,6,1,3,1,1,6,0
1,24,6,1,3,14,1,6,0
1,25,153,1,3,19,1,6,0
1,25,186,1,3,15,9,6,0
1,25,6,1,3,1,1,6,0
1,25,153,1,3,19,1,6,0
1,25,92,1,2,14,1,9,0
1,25,603,1,3,1,169,6,0
1,25,78,1,7,14,509,8,1
1,25,6,1,9,14,1,13,0
1,26,186,1,3,15,9,6,0
1,27,78,1,7,14,509,8,1
1,28,186,1,2,4,9,5,0
1,28,6,1,2,14,1,9,0
1,28,6,1,9,14,1,13,0
1,28,6,1,9,14,1,13,0
1,28,186,0,2,4,9,5,0
1,29,185,1,1,2,18,5,0
1,29,217,1,3,5,343,6,1
1,31,186,1,3,2,1,6,0
2,1,186,1,9,4,9,13,0
2,2,34,1,2,14,49,9,0
2,2,101,1,3,6,573,6,1
2,3,179,1,3,19,1,6,0
2,4,92,1,2,3,29,5,0
2,4,42,1,6,14,1114,5,1
2,4,6,1,3,14,22,6,0
2,5,155,1,2,14,1,9,0
2,5,6,1,9,14,1,13,0
2,5,78,1,3,14,1,6,0
2,6,69,1,1,7,30,5,1
2,6,186,1,3,4,9,6,0
2,6,45,1,3,19,1,6,0
2,6,45,1,3,3,1,6,0
2,6,45,1,3,3,1,6,0
2,7,110,1,3,4,1,6,0
2,7,6,1,3,14,1,6,0
2,7,6,1,3,1,1,6,0
2,7,6,1,3,14,36,6,0
2,8,6,1,3,8,22,6,0
2,9,74,0,1,2,19,6,1
2,10,603,1,2,14,20,5,0
2,10,603,1,2,14,20,5,0
2,10,93,1,8,19,334,9,0
2,11,97,1,2,14,19,9,0
2,12,6,1,3,14,36,6,0
2,12,34,1,2,14,49,9,0
2,12,603,1,3,14,19,6,0
2,12,159,1,3,1,1,6,0
2,12,102,0,3,7,19,6,1
2,13,185,0,3,1,18,6,0
2,13,185,1,7,1,1,8,0
2,13,185,1,7,1,1,8,0
2,14,44,1,3,19,1,6,0
2,14,205,1,2,3,249,6,0
2,14,92,1,3,3,1,6,0
2,15,186,1,3,4,9,6,0
2,15,6,1,2,14,1,9,0
2,15,6,1,2,14,1,9,0
2,15,6,1,2,14,1,9,0
2,14,92,1,3,14,243,6,0
2,14,92,1,3,14,243,6,0
2,14,92,1,3,14,243,6,0
2,14,92,1,3,14,243,6,0
2,14,92,1,3,14,243,6,0
2,14,92,1,3,14,243,6,0
2,14,92,1,3,14,243,6,0
2,14,92,1,3,14,243,6,0
2,14,92,1,3,14,243,6,0
2,14,92,1,3,14,243,6,0
2,14,92,1,3,14,243,6,0
2,14,92,1,3,14,243,6,0
2,15,159,1,3,4,16,6,0
2,15,177,1,6,1,1,5,0
2,15,110,1,3,19,34,6,1
2,18,8,1,2,3,48,5,0
2,19,6,1,3,14,1,6,0
2,19,6,1,3,1,1,6,0
2,19,78,1,3,1,1,6,0
2,20,603,1,3,3,20,6,0
2,20,213,1,2,8,82,5,0
2,20,74,1,6,7,1391,5,1
2,20,6,1,3,9,22,6,0
2,21,6,1,2,14,1,6,0
2,21,153,1,2,2,1,5,0
2,21,185,0,3,2,18,6,0
2,21,185,1,3,19,1,6,0
2,21,6,1,3,19,1,6,0
2,21,6,1,3,21,1,6,0
2,22,153,1,3,15,1,6,0
2,22,153,1,2,14,1,5,0
2,23,45,1,3,14,5,6,0
2,23,186,1,3,4,9,6,1
2,23,217,1,7,14,68,7,1
2,24,603,1,3,14,20,6,0
2,24,213,1,6,1,35,13,0
2,25,186,1,3,4,9,6,0
2,25,603,1,3,2,20,6,0
2,25,213,1,2,2,35,5,0
2,25,36,0,8,4,1,2,0
2,25,6,1,3,19,22,6,0
2,26,6,1,3,19,1,6,0
2,26,186,1,2,4,9,5,0
2,26,8,1,2,14,48,5,0
2,26,153,1,3,19,1,6,0
2,27,92,1,3,19,1,6,0
2,27,92,1,3,19,1,6,0
2,27,92,1,3,19,1,6,0
2,27,153,1,3,19,1,6,0
2,27,110,1,2,4,34,5,0
2,27,167,1,3,4,1,6,0
2,27,209,1,3,3,1,6,0
2,28,153,1,3,1,1,6,0
2,28,153,1,3,1,1,6,0
2,28,603,1,3,8,165,6,1
3,1,235,1,2,3,1,5,0
3,3,603,1,2,14,169,5,0
3,3,45,1,3,3,5,6,0
3,3,45,1,3,3,5,6,0
3,3,6,1,3,14,36,6,0
3,3,75,1,7,19,1,11,0
3,3,75,1,7,19,1,11,0
3,4,6,1,3,8,36,6,0
3,5,603,1,3,1,19,6,0
3,5,160,1,3,3,27,6,0
3,5,186,1,3,19,9,6,0
3,5,186,1,3,4,9,6,0
3,5,6,1,3,8,22,6,0
3,7,160,1,3,1,1,6,0
3,7,153,1,2,1,1,5,0
3,7,6,1,3,19,22,6,0
3,9,153,1,3,2,1,6,0
3,9,153,1,3,19,1,6,0
3,9,186,1,3,14,9,6,0
3,9,186,1,3,3,9,6,0
3,10,603,1,3,3,169,6,0
3,11,186,1,3,4,9,6,0
3,11,186,1,3,4,9,6,0
3,11,205,1,2,13,181,5,0
3,12,78,1,3,1,150,6,0
3,12,78,1,3,1,150,6,0
3,12,603,1,3,1,169,6,0
3,12,43,1,3,2,1,6,0
3,12,6,1,2,14,1,5,0
3,13,97,1,3,14,1,6,0
3,14,185,1,3,1,1,6,0
3,14,97,1,3,14,1,6,0
3,14,185,1,3,2,179,6,1
3,14,186,1,3,4,9,6,0
3,14,6,1,3,8,22,6,0
3,16,90,1,3,2,1,6,0
3,17,160,1,3,1,1,6,0
3,17,603,0,3,1,19,6,0
3,17,603,0,3,1,1,6,0
3,17,160,0,2,14,1,5,0
3,18,6,1,3,2,22,6,0
3,20,160,1,3,14,27,5,0
3,20,603,0,3,1,169,6,1
3,21,159,1,2,14,16,5,0
3,21,153,1,2,14,231,5,0
3,22,60,1,2,14,32,5,0
3,22,6,1,3,8,22,6,0
3,23,45,1,6,18,5,13,1
3,23,45,1,2,3,5,5,0
3,23,45,1,6,14,5,13,0
3,23,45,1,6,18,5,13,0
3,24,603,1,3,3,169,6,0
3,25,202,1,2,4,1,5,0
3,26,45,1,3,21,5,6,0
3,26,217,0,8,2,19,2,0
3,27,185,1,3,4,18,6,0
3,27,603,1,2,3,169,5,0
3,27,6,1,2,14,36,9,0
3,28,6,1,3,4,22,6,0
3,29,168,1,2,13,49,5,0
3,30,155,1,3,14,21,6,1
3,31,153,1,3,14,50,6,0
3,31,217,1,7,9,690,8,1
4,0,45,1,6,1,5,13,0
4,1,96,0,3,14,20,6,0
4,1,217,1,7,5,1,8,0
4,2,6,1,3,14,1,6,0
4,2,6,1,3,14,36,6,0
4,2,74,1,2,14,1,5,0
4,2,109,1,3,15,1,6,0
4,3,168,1,2,14,49,9,0
4,4,213,1,3,1,1,6,0
4,4,213,1,3,1,1,6,0
4,5,6,1,2,14,36,5,0
4,5,74,1,2,14,19,5,0
4,6,153,1,3,19,1,6,0
4,6,153,1,3,14,1,6,0
4,6,109,1,3,7,1,6,0
4,6,97,1,3,14,34,6,0
4,6,110,0,3,4,34,6,0
4,6,217,1,7,5,19,8,0
4,7,6,0,3,21,1,6,0
4,8,78,1,3,1,150,6,0
4,9,45,1,8,15,1,2,0
4,9,45,0,8,15,1,2,0
4,9,45,0,8,15,1,2,0
4,9,45,0,8,15,1,2,0
4,9,45,0,8,15,1,2,0
4,9,45,1,8,15,1,2,0
4,10,209,1,3,18,8,6,0
4,10,6,1,2,2,22,5,0
4,13,167,0,1,2,1,6,0
4,12,186,1,3,14,9,6,0
4,14,217,1,7,14,19,8,0
4,14,186,1,3,3,9,6,0
4,14,186,1,3,3,9,6,0
4,14,235,1,3,3,103,6,1
4,15,182,1,6,12,17,5,0
4,16,167,1,3,4,1,6,0
4,17,78,1,3,7,509,8,1
4,18,92,1,2,14,1,5,0
4,19,45,1,3,1,1,6,0
4,20,235,0,2,13,1,5,0
4,20,36,1,9,14,53,13,0
4,21,603,1,2,14,1,5,0
4,21,6,1,3,4,36,6,0
4,22,34,1,2,14,1,9,0
4,22,153,1,3,19,1,6,0
4,22,92,1,2,14,1,5,0
4,23,78,1,3,15,1,6,0
4,24,147,1,3,14,1,6,0
4,24,147,1,3,14,1,6,0
4,24,603,0,2,14,20,9,0
4,25,6,1,3,4,36,6,0
4,26,603,1,3,1,20,6,0
4,28,45,1,3,2,1,6,0
4,28,45,1,3,2,1,6,0
4,28,45,1,3,2,1,6,0
4,28,186,1,3,1,9,6,0
4,29,603,0,3,14,20,6,0
4,30,45,1,3,2,1,6,0
4,30,45,1,3,1,1,6,0
4,30,45,1,3,19,1,6,0
4,30,45,1,2,19,1,5,0
4,30,213,1,2,14,82,5,0
4,30,6,1,3,14,22,6,0
5,1,117,1,3,3,1,6,0
5,1,96,0,2,1,20,5,0
5,3,78,1,3,7,509,8,1
5,3,603,0,3,3,20,6,0
5,3,235,1,2,3,1,5,0
5,4,45,1,6,14,1,5,0
5,4,45,1,2,14,1,5,0
5,4,217,1,7,1,68,8,1
5,5,78,1,3,2,509,8,1
5,5,92,1,2,14,1,5,0
5,5,92,1,2,14,1,5,0
5,5,6,1,2,14,1,9,0
5,5,6,1,3,3,1,6,0
5,5,6,1,6,14,1,5,0
5,6,185,1,1,2,18,5,0
5,7,235,1,2,4,1,5,0
5,7,6,1,3,14,22,6,0
5,7,6,1,3,14,36,6,0
5,8,110,1,3,17,34,6,1
5,8,117,1,3,14,528,8,0
5,8,44,1,8,8,1,2,0
5,9,603,1,3,3,20,6,1
5,9,185,1,2,4,18,5,0
5,9,179,1,3,1,1,6,0
5,9,6,1,3,14,22,6,0
5,10,235,1,3,1,1,6,0
5,10,235,1,3,1,1,6,0
5,10,5,1,3,10,1,6,0
5,10,6,1,3,19,22,6,0
5,11,117,1,3,14,528,8,0
5,11,117,1,3,14,528,8,0
5,11,117,1,3,1,528,8,0
5,11,32,1,8,10,1,2,0
5,12,6,1,2,14,36,9,0
5,12,45,1,2,4,14,5,0
5,12,603,0,3,19,165,6,1
5,12,209,0,1,12,17,5,1
5,13,155,1,7,15,17,8,0
5,13,167,1,1,2,25,6,0
5,13,6,1,3,1,22,6,0
5,14,186,1,3,4,9,6,0
5,14,167,1,3,15,1,6,0
5,16,104,1,1,2,19,5,0
5,17,186,1,1,2,9,5,1
5,17,78,1,3,1,972,6,1
5,17,78,1,3,1,617,6,1
5,17,78,1,3,1,150,6,1
5,17,78,1,3,6,972,6,1
5,17,78,1,3,6,617,6,1
5,17,78,1,3,6,150,6,1
5,17,6,1,3,14,22,6,0
5,20,6,1,3,19,22,6,0
5,21,222,1,3,2,1,6,0
5,21,45,1,3,2,5,6,0
5,21,45,1,3,2,14,6,0
5,22,6,1,3,14,36,6,0
5,26,6,1,3,14,36,6,0
5,27,6,1,3,14,36,6,0
6,0,45,1,6,1,5,13,0
6,2,94,1,3,1,94,6,1
6,2,94,1,3,2,94,6,1
6,2,94,0,3,4,94,6,1
6,3,209,1,3,1,8,6,0
6,3,209,1,3,19,8,6,0
6,4,6,1,3,3,22,6,0
6,4,6,1,3,14,36,6,0
6,5,205,0,3,19,249,6,0
6,5,153,1,3,19,17,6,0
6,5,153,1,3,1,17,6,0
6,8,153,1,3,1,17,6,0
6,9,217,1,3,1,690,6,1
6,11,6,1,3,19,36,6,0
6,14,90,1,3,2,1,6,0
6,14,6,1,2,2,22,5,0
6,15,603,1,3,1,165,8,0
6,17,6,1,2,14,22,9,0
6,18,153,1,3,1,1,6,0
6,18,153,1,3,2,1,6,0
6,19,92,1,2,14,1,5,0
6,19,6,1,3,14,22,6,0
6,20,213,1,2,1,35,5,0
6,20,6,1,3,14,22,6,0
6,20,6,1,3,21,22,6,0
6,21,153,1,2,3,1,5,0
6,21,110,1,3,7,1,6,0
6,21,217,1,7,2,68,8,1
6,21,217,1,7,2,74,8,1
6,21,217,1,7,2,68,8,1
6,21,217,1,7,2,74,8,1
6,22,167,1,3,3,1,6,0
6,22,130,1,2,4,207,5,1
6,23,603,1,3,7,1,8,0
6,24,603,1,3,14,165,6,1
6,24,217,1,3,1,690,6,0
6,25,185,1,3,2,18,6,1
6,25,6,1,2,14,36,5,0
6,25,6,1,9,14,1,13,0
6,26,183,1,3,3,1,6,0
6,27,217,1,7,14,1210,8,0
6,27,6,1,3,20,22,6,0
6,29,78,1,3,2,261,6,1
7,1,603,1,7,15,177,8,0
7,1,603,1,7,15,177,8,0
7,1,603,1,7,15,177,8,0
7,1,603,1,7,15,177,8,0
7,1,603,1,7,15,177,8,0
7,1,603,1,7,15,177,8,0
7,1,603,1,7,15,177,8,0
7,1,603,1,7,15,177,8,0
7,1,603,1,7,15,177,8,0
7,1,6,1,3,14,22,6,0
7,2,235,1,2,3,1,5,0
7,2,110,1,2,4,34,6,1
7,8,168,1,6,15,49,5,0
7,9,36,0,1,2,1,6,0
7,9,217,0,3,16,1,6,0
7,10,603,0,3,20,1,6,0
7,10,603,0,3,20,127,6,0
7,11,186,1,3,4,9,6,0
7,11,235,1,2,3,1,5,0
7,12,603,1,3,14,1,8,0
7,12,74,1,3,4,1,6,0
7,12,235,1,2,3,1,5,0
7,12,213,1,3,1,82,6,0
7,12,213,1,3,1,82,6,0
7,13,78,1,3,2,186,6,1
7,13,78,1,3,2,186,6,1
7,13,603,0,3,2,127,6,0
7,13,97,1,3,1,1,6,0
7,13,235,1,2,3,1,5,0
7,13,6,0,3,21,22,6,0
7,14,60,1,2,3,32,5,0
7,15,74,1,3,14,699,6,0
7,15,74,1,3,14,548,6,0
7,15,96,1,3,1,177,6,0
7,15,186,1,1,2,9,6,0
7,16,217,1,7,1,68,8,1
7,17,92,1,2,3,1,5,0
7,17,36,1,2,2,53,5,0
7,17,6,1,3,14,22,6,0
7,17,6,1,3,14,22,6,0
7,19,97,0,3,14,21,6,0
7,19,603,1,2,14,1,5,0
7,19,69,1,3,3,72,6,1
7,20,235,0,2,1,1,5,0
7,20,69,1,3,2,72,6,1
7,20,118,1,3,19,1,6,0
7,20,202,1,2,7,1,8,0
7,21,235,0,2,3,1,5,0
7,21,168,1,6,15,49,13,0
7,21,228,1,2,2,1,5,0
7,21,603,0,3,3,1,6,0
7,21,118,1,3,19,1,6,0
7,21,118,1,3,14,1,6,0
7,21,8,1,9,3,48,13,0
7,21,8,1,2,14,48,5,0
7,21,235,0,2,3,1,5,0
7,22,74,1,6,14,1,5,0
7,23,167,1,1,2,1,6,0
7,24,217,1,2,2,19,5,0
7,24,235,1,2,4,1,5,0
7,24,110,1,2,4,34,5,1
7,25,235,1,2,4,1,5,0
7,25,130,1,2,4,207,5,0
7,25,12,1,3,14,1,6,0
7,25,12,0,3,1,1,6,0
7,26,45,1,2,2,1,5,0
7,26,235,1,2,3,1,5,0
7,26,110,1,2,4,1,5,0
7,27,228,1,2,15,19,5,1
7,27,74,1,3,4,1,6,0
7,27,78,1,7,1,634,8,1
7,27,78,1,7,7,634,8,1
7,27,78,1,7,1,634,8,1
7,27,186,0,3,7,9,6,0
7,28,8,1,7,14,48,13,0
7,28,6,1,9,4,1,13,0
7,28,183,1,2,14,1,5,0
7,28,92,1,2,14,1,5,0
7,28,92,1,2,14,1,5,0
7,28,45,1,3,1,14,6,0
7,29,235,0,2,1,1,5,0
7,29,28,1,3,10,1,6,0
7,29,92,1,3,14,338,6,0
7,29,28,1,3,14,1,6,0
7,29,28,1,3,15,1,6,0
7,30,110,1,3,4,34,6,1
7,30,6,1,3,19,1,6,0
7,30,177,1,2,4,93,5,0
7,31,28,1,3,3,1,6,0
7,31,6,1,3,14,1,6,0
7,31,167,1,2,3,1,5,0
7,31,6,1,6,14,22,6,0
8,1,213,1,3,21,82,6,0
8,1,603,1,3,14,127,6,1
8,1,209,1,1,2,8,6,0
8,2,38,1,3,21,1,6,0
8,2,217,1,3,2,1,6,0
8,2,6,1,2,19,1,9,0
8,2,603,1,3,1,1,8,0
8,2,603,1,3,1,1,8,0
8,2,603,1,3,1,1,8,0
8,2,92,1,2,14,83,5,0
8,3,92,1,2,1,1,5,0
8,3,92,1,2,14,1,5,0
8,3,92,1,2,14,58,5,0
8,3,603,0,2,3,1,5,0
8,3,45,1,3,3,5,6,0
8,3,45,1,3,3,5,6,0
8,3,45,1,3,3,14,6,0
8,3,153,1,3,3,1,6,0
8,3,45,1,6,2,5,6,0
8,3,45,1,6,2,14,6,0
8,3,45,1,7,11,5,13,0
8,3,45,1,7,11,14,13,0
8,3,45,1,7,1,5,13,0
8,3,45,1,7,1,14,13,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,3,45,1,2,4,5,6,0
8,3,45,1,2,4,14,6,0
8,4,155,1,2,14,1,5,0
8,4,92,1,3,3,1,6,0
8,4,92,1,2,14,1,5,0
8,4,92,1,2,14,1,5,0
8,4,45,1,6,2,14,5,0
8,4,45,1,6,2,14,5,0
8,4,45,1,6,2,14,5,0
8,4,45,1,6,2,14,5,0
8,4,45,1,6,2,14,5,0
8,4,45,1,6,2,14,5,0
8,4,45,1,6,3,1,5,0
8,4,45,1,3,21,5,6,0
8,4,45,1,3,21,5,6,0
8,4,45,1,3,21,14,6,0
8,4,45,1,3,21,14,6,0
8,4,45,1,3,4,14,6,0
8,4,45,1,3,4,5,6,0
8,4,45,1,3,21,5,6,0
8,4,98,1,3,10,452,6,0
8,5,98,1,3,2,452,6,0
8,5,45,1,3,6,1,6,0
8,6,45,1,3,14,1,6,0
8,6,98,1,3,2,452,6,0
8,7,95,1,3,14,1,6,0
8,7,104,1,3,7,78,6,1
8,7,203,1,3,7,78,6,1
8,7,98,1,3,2,452,6,0
8,8,159,1,3,14,1,6,0
8,9,185,1,7,19,1,8,0
8,9,8,1,9,14,48,13,0
8,9,92,1,2,3,75,5,0
8,9,167,1,4,6,1,6,0
8,9,28,1,3,3,1,6,0
8,9,34,1,2,14,1,8,0
8,10,8,1,2,14,48,5,0
8,11,74,1,3,14,1,6,0
8,11,161,1,7,2,1,8,0
8,12,6,1,3,19,1,6,0
8,12,45,1,3,21,1,6,0
8,12,34,1,2,13,1,8,0
8,13,36,1,2,14,53,5,0
8,13,6,1,3,18,22,6,0
8,14,45,1,3,21,1,6,0
8,14,167,1,2,3,1,5,0
8,14,186,1,4,11,9,5,0
8,15,235,1,2,3,1,5,0
8,15,603,1,3,14,127,6,1
8,16,95,1,3,1,467,6,0
8,16,235,1,2,3,1,5,0
8,16,235,1,2,3,1,5,0
8,17,186,1,3,14,9,6,0
8,19,6,1,3,14,1,6,0
8,19,185,1,7,2,1,8,0
8,19,5,1,3,15,1,6,0
8,19,110,1,3,3,34,6,0
8,19,161,1,3,1,1,6,0
8,20,6,1,3,14,1,6,0
8,20,36,1,3,2,1,6,0
8,20,155,1,2,15,1,9,0
8,20,168,1,2,14,49,5,0
8,20,168,1,2,3,49,6,0
8,21,19,1,2,1,1,9,0
8,21,19,1,2,1,1,5,0
8,21,167,1,3,15,1,6,0
8,21,6,1,2,14,1,9,0
8,21,217,1,7,5,92,8,0
